"filename", "language", "YAML", "Python", "toml", "pip requirements", "Log", "JSON", "JavaScript", "HTML", "XML", "Markdown", "CSS", "comment", "blank", "total"
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\et.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\eu.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\fa.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\fi.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\fr.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\gl.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\he.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\hi.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\hr.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\hu.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\id.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\is.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\it.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\ja.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\km.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\ko.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
"e:\Programming\EliteMangaNew\static\admin\js\vendor\select2\i18n\lt.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 3
